DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	NRO_ENCUESTA	ORDEN	P5000	P5010	P5016	P5016S5	P5016S6	P5016S2	P5016S3	P5016S4	P5666	P8526	P5022	P5024	P5030	P5041	P5046	P5046S1	P5046S1A1	P5046S1A2	P5046S1A3	P5046S1A4	P5046S1A5	P5046S1A6	P5046S1A7	P5012	P5012S1	P5012S2	P5012S3	P5012S4	P5012S5	P5012S6	P5012S7	P8530	P5047	P5069	P764	P8534	P8536	P1698	P1698S1	P5305	CANT_PERSONAS_HOGAR	I_HOGAR	I_UGASTO	PERCAPITA	I_OU	LLAVEHOG	FEX_C
5003826	1	1	591	1	4	3						1	1	1	1	2	1	1	1		1	1	1	1			1		1	1	1	2	2	1	2	1	1	6	1		2	2		2	4	5042200	5042200	1260550	0	50038261	1518.24461224272
5003827	1	1	591	1	4	3						1	1	2	1	1	1	1	1		1		1						1	1	2	2	2	2	2	2	2	2	1		2	2		2	3	728000	728000	242666.666666667	0	50038271	164.008963203956
5003828	1	1	591	1	4	3			1				1	1	1	3	1	1	2										1	1	1	1	1	1	2	1	1	6	1		2	2		1	3	2950000	2950000	983333.333333333	0	50038281	1388.56002353454
5003829	1	1	591	1	4	2						1	1	1	1	2	1	1	1		1	1	1	1					1	1	2	1	2	2	2	1	1	6	1		2	2		2	3	9058333.33333333	9058333.33333333	3019444.44444444	0	50038291	1321.62365360831
5003830	1	1	591	1	3	1						1	1	1	1	2	1	1	1			1	1	1					1	1	1	1	2	1	2	1	2	2	1		2	2		1	2	4000000	4000000	2000000	0	50038301	1179.96003079315
5003831	1	1	591	1	3	1						1	1	2	1	1	1	1	1		1	1	1	1					1	1	2	1	1	2	2	2	2	4	1		2	2		2	1	238333.333333333	238333.333333333	238333.333333333	0	50038311	159.194092998083
5003832	1	1	591	1	3	2				1	1		2	1	1	2	1	1	2										1	1	1	1	1	2	2	10		6	1		4	2		2	3	2022000	2022000	674000	0	50038321	753.048541096366
5003833	1	1	591	1	8	1						1	2	1	1	2	1	1	1		1	1	1	1					1	1	2	1	1	1	2	1	2	2	1		4	2		2	2	3862333.33333333	3862333.33333333	1931166.66666667	0	50038331	753.048541096366
5003833	2	1	591	2	1	1						1	2	1	1	1	1	1	2										1	1	1	1	1	1	1	1	2	6	5	2				2	1	900000	900000	900000	0	50038332	753.048541096366
5003834	1	1	591	1	3	2						1	2	1	1	2	1	1	1		1	1	1						1	2	2	2	2	2	2	1	2	6	1		4	2		2	2	540000	540000	270000	0	50038341	678.154746386976
5003835	1	1	591	1	4	3						1	2	1	1	1	1	1	1		1	1	1	1					1	1	1	1	1	2	2	1	2	6	1		4	2		2	4	1181700	1181700	295425	0	50038351	735.572054520274
5003836	1	1	591	1	3	2						1	2	1	1	1	2	1	1		1	1	1	1					2	1	1	1	1	2	2	1	2	2	1		4	2		2	4	5678666.66666667	5678666.66666667	1419666.66666667	0	50038361	768.231904324483
5003837	1	1	591	1	3	1						1	2	2	1	1	1	4	1		1								2	1	1	2	2	2	2	2	2	2	1		6	1	4	2	2	1165000	1165000	582500	0	50038371	511.169521112282
5003838	1	1	591	1	3	3						1	2	2	1	1	1	4	2										1	1	1	2	2	2	2	4		2	1		6	1	4	2	10	1662000	1662000	166200	0	50038381	1085.36339281598
5003839	1	1	591	1	4	2						1	2	2	1	1	1	3	2										2	1	1	1	2	2	2	6		2	1		6	2		2	4	450000	450000	112500	0	50038391	333.031508143945
5003840	1	1	591	1	4	2						1	2	2	1	1	1	3	1		1		1	1					1	1	1	2	2	2	2	6		2	1		6	1	4	2	3	1231166.66666667	1231166.66666667	410388.888888889	0	50038401	647.694571205345
5003842	1	1	591	1	1	1						1	2	6				5	2										1	1	1	2	1	2	2	2	2	2	1		6	2		2	3	100000	100000	33333.3333333333	0	50038421	733.167830703647
5003844	1	1	591	1	2	1						1	2	2	1	1	1	5	2										1	1	1	1	2	2	2	2	2	2	3		6	2		2	3	496666.666666667	496666.666666667	165555.555555556	0	50038441	971.260794194644
5003845	1	1	591	1	2	1							2	2	1	1	1	4	1		1	1	1	1		1			2	2	2	1	1	2	2	6		1	4		6	1	4	2	2	80000	80000	40000	0	50038451	550.225236698898
5003846	1	1	591	1	4	3			1		1		1	1	1	3	1	1	1		1								1	1	1	1	2	2	2	1	1	6	1		2	2		2	4	1184000	1184000	296000	0	50038461	1131.97106991424
5003847	1	1	591	1	1	1			1				1	1	1	2	2	1	1			1	1	1		1			1	1	2	1	2	1	2	1	1	6	1		2	2		2	3	891000	891000	297000	0	50038471	1056.28165994476
5003847	2	1	591	2	1	1						1	2	1	1	1	1	1	1		1	1		1					1	1	2	2	2	2	2	1	1	1	1		4	2		2	3	282000	282000	94000	0	50038472	1056.28165994476
5003847	3	1	591	3	1	1						1	2	1	1	1	2	1	2										1	1	2	2	2	2	2	1	1	6	5	1				1	1	500000	500000	500000	0	50038473	1056.28165994476
5003848	1	1	591	1	5	3				1	1		1	1	1	2	1	1	1		1	1	1	1	1	1	1		1	1	2	2	1	2	2	1	1	6	1		2	1	6	2	6	821666.666666667	821666.666666667	136944.444444444	0	50038481	1097.64706338181
5003849	1	1	591	1	3	1				1	1		1	1	1	1	1	1	1		1	1	1	1	1	1	1		1	1	1	2	1	1	2	1	1	2	1		2	2		2	1	116666.666666667	116666.666666667	116666.666666667	0	50038491	970.534476267774
5003850	1	1	591	1	9	2			1		1		1	1	1	5	1	1	1		1	1	1						1	1	1	2	1	2	2	1	1	6	1		2	2		2	3	3550000	3550000	1183333.33333333	0	50038501	887.631462998959
5003851	1	1	591	1	2	2			1	1	1		1	1	1	1	1	1	1		1	1	1	1		1			1	1	2	1	1	2	2	1	1	6	1		2	2		2	3	781666.666666667	781666.666666667	260555.555555556	0	50038511	491.732907840227
5003852	1	1	591	1	2	1			1	1	1		2	2	1	1	1	4	1		1	1	1	1	1	1	1		1	1	2	2	2	2	2	2	1	2	1		4	1	6	2	1	1436666.66666667	1436666.66666667	1436666.66666667	0	50038521	685.949611614855
5003853	1	1	591	1	3	1						1	2	2	1	1	1	4	1		1								2	1	2	2	2	2	2	4		1	1		4	1	6	2	1	249166.666666667	249166.666666667	249166.666666667	0	50038531	685.949611614855
5003854	1	1	591	1	2	1			1				2	2	2	1	1	4	2										1	1	1	2	2	2	2	1	1	2	4		6	1	4	2	2	370000	370000	185000	0	50038541	550.225236698898
5003855	1	1	591	1	2	1			1	1	1		2	2	1	1	1	4	2										2	1	2	2	2	2	2	2	1	1	1		4	2		2	2	7290000	7290000	3645000	0	50038551	550.225236698898
5003856	1	1	591	1	2	1							2	2	1	1	1	4	1		1								2	2	2	2	1	2	2	6		1	1		4	1	6	2	2	716116.666666667	716116.666666667	358058.333333333	0	50038561	920.068535237457
5003857	1	1	591	1	2	1			1	1	1		2	4	1	1	1	4	2										1	1	1	2	1	2	2	1	2	1	1		6	2		2	1	244166.666666667	244166.666666667	244166.666666667	0	50038571	685.949611614855
5003858	1	1	591	1	3	1			1	1	1		2	2	2	1	1	4	2										2	2	2	1	2	1	2	2	1	2	1		6	2		2	2	5388333.33333333	5388333.33333333	2694166.66666667	0	50038581	550.225236698898
5003859	1	1	591	1	1	1							2	2	2	1	1	4	2										2	2	2	2	1	2	2	5		1	1		6	1	4	2	2	275000	275000	137500	0	50038591	550.225236698898
5003860	1	1	591	1	1	1			1				1	1	1	1	1	1	1		1	1	1						1	1	2	2	2	1	2	1	1	6	1		2	2		2	2	456554.166666667	456554.166666667	228277.083333333	0	50038601	571.536841627879
5003861	1	1	591	1	4	2			1	1	1		1	1	1	1	1	1	1		1	1	1	1	1	1	1		1	1	1	2	2	1	2	1	1	2	1		2	2		2	4	3798583.33333333	3798583.33333333	949645.833333333	0	50038611	571.476102961127
5003862	1	1	591	1	4	1				1	1		1	1	1	1	1	1	1		1	1	1	1					1	1	2	2	1	1	2	10		6	1		2	2		2	1	170833.333333333	170833.333333333	170833.333333333	0	50038621	485.267238133887
5003863	1	1	591	1	3	2			1	1	1		1	1	1	1	1	1	1		1	1	1	1	1	1	1		1	1	2	1	2	1	1	1	1	2	1		2	2		2	4	2290500	2290500	572625	0	50038631	571.476102961127
5003864	1	1	591	1	1	1			1	1	1		2	1	1	1	1	4	2										1	1	2	2	2	2	2	1	2	2	1		4	2		2	1	355000	355000	355000	0	50038641	485.267238133887
5003865	1	1	591	1	4	1			1	1	1		1	1	2	2	1	1	1		1	1	1	1	1	1			1	1	1	2	1	2	2	1	1	2	1		2	1	4	2	2	581250	581250	290625	0	50038651	507.345886449867
5003866	1	1	591	1	4	1				1	1		2	1	1	2	1	1	1		1	1	1	1	1	1	1		1	1	2	2	1	1	2	1	1	4	1		4	1	6	2	1	8145833.33333333	8145833.33333333	8145833.33333333	0	50038661	485.267238133887
5003867	1	1	591	1	3	1				1	1		2	1	1	1	1	1	1		1	1	1						1	1	1	2	2	2	2	1	1	6	1		4	1	6	2	2	218333.333333333	218333.333333333	109166.666666667	0	50038671	405.000267763512
5003868	1	1	591	1	7	1				1	1		2	1	1	2	1	1	1		1	1	1	1	1	1			1	1	1	1	1	1	2	1	1	2	1		4	1	6	2	1	0	0	0	0	50038681	485.267238133887
5003869	1	1	591	1	4	2				1	1		2	1	1	2	1	1	1		1	1	1	1	1	1	1		1	1	1	2	1	1	2	1	1	2	1		4	1	6	2	3	3067950	3067950	1022650	0	50038691	561.527583538969
5003870	1	1	591	1	3	2				1	1		2	1	1	2	1	1	1		1	1	1	1	1	1	1		1	1	1	2	1	1	2	1	1	6	1		4	2		1	3	8300666.66666667	8300666.66666667	2766888.88888889	0	50038701	577.341711106594
5003871	1	1	591	1	5	1						1	2	1	1	3	1	1	1		1	1	1	1		1			1	1	1	2	2	2	2	1	1	2	5	1				1	1	2150000	2150000	2150000	0	50038711	618.793217741002
5003872	1	1	591	1	2	1					1		2	1	1	1	1	1	1		1	1	1	1	1	1	1		1	1	2	2	1	1	1	1	2	1	1		4	2		2	2	237500	237500	118750	0	50038721	474.794943462254
5003873	1	1	591	1	2	2			1				2	1	1	1	1	1	1		1	1	1	1	1	1	1		1	1	2	1	2	2	2	1	1	4	1		4	2		2	5	2218000	2218000	443600	0	50038731	572.250055705478
5003874	1	1	591	1	3	1						1	2	1	1	1	1	1	1		1	1	1	1					2	1	1	2	2	1	1	1	1	6	1		4	2		2	1	136666.666666667	136666.666666667	136666.666666667	0	50038741	485.267238133887
5003875	1	1	591	1	4	2						1	2	1	1	1	1	1	1		1	1	1	1					1	1	1	1	1	2	2	1	1	6	1		4	1	6	2	4	720000	720000	180000	0	50038751	571.476102961127
5003876	1	1	591	1	2	2						1	2	1	1	1	1	1	2										1	1	1	2	2	2	2	1	1	4	5	1				2	1	2416666.66666667	2416666.66666667	2416666.66666667	0	50038761	559.78175287552
5003877	1	1	591	1	5	3						1	1	1	1	1	1	1	2										1	1	1	2	2	1	1	1	2	6	1		2	2		1	3	6789000	6789000	2263000	0	50038771	1055.64846435242
5003878	1	1	591	1	4	2						1	1	1	1	4	1	1	1					1					1	1	2	2	1	1	2	1	2	2	1		2	2		2	4	11929166.6666667	11929166.6666667	2982291.66666667	0	50038781	1089.54278655941
5003879	1	1	591	1	4	3						1	1	1	1	2	1	1	1			1		1	1				1	1	1	1	1	1	2	1	1	6	1		2	2		2	4	5356250	5356250	1339062.5	0	50038791	1024.84480119622
5003880	1	1	591	1	4	2			1				1	1	1	2	1	1	2										1	1	2	2	1	2	2	1	2	4	1		2	2		1	4	7230000	7230000	1807500	0	50038801	1089.54278655941
5003881	1	1	591	1	4	4						1	1	1	1	2	1	1	1				1	1					1	1	2	2	2	1	2	1	1	6	1		2	2		2	4	3833333.33333333	3833333.33333333	958333.333333333	0	50038811	1007.584690791
5003882	1	1	591	1	4	2						1	1	1	1	2	1	1	1		1		1		1				1	1	1	1	1	1	1	1	1	6	1		2	2		2	2	800000	800000	400000	0	50038821	907.378121490658
5003883	1	1	591	1	4	3			1				1	1	1	2	1	1	2										1	1	2	1	2	1	2	1	2	5	1		2	2		2	4	2798666.66666667	2798666.66666667	699666.666666667	0	50038831	1026.25405126179
5003884	1	1	591	1	4	3			1				1	1	1	2	1	1	2										1	1	2	1	2	2	2	1	2	2	1		2	2		1	4	2072500	2072500	518125	0	50038841	845.395355996609
5003885	1	1	591	1	4	3						1	1	1	1	2	1	1	2										1	1	1	1	2	2	2	1	1	6	1		2	2		2	4	4266333.33333333	4266333.33333333	1066583.33333333	0	50038851	1034.88410646439
5003886	1	1	591	1	3	3						1	1	1	1	2	1	1	1		1		1	1					2	1	1	1	1	1	2	1	1	6	1		2	2		2	4	2066666.66666667	2066666.66666667	516666.666666667	0	50038861	811.02218172755
5003887	1	1	591	1	4	1			1				1	1	1	2	1	1	1				1	1					1	1	2	1	2	2	2	1	2	6	1		2	2		2	1	9560666.66666667	9560666.66666667	9560666.66666667	0	50038871	1131.4410469459
5003888	1	1	591	1	4	3						1	1	1	1	4	1	1	1		1	1	1	1					1	1	2	2	1	1	1	1	2	6	1		2	2		1	4	3312500	3312500	828125	0	50038881	1174.43445186334
5003889	1	1	591	1	4	2						1	1	1	1	2	1	1	1		1		1	1					1	1	2	1	2	1	2	10		6	1		2	2		2	2	3050000	3050000	1525000	0	50038891	868.145403850244
5003890	1	1	591	1	4	1						1	1	1	1	3	1	1	2										1	1	2	2	2	1	1	1	2	4	1		2	2		2	2	3475000	3475000	1737500	0	50038901	897.060964878805
5003891	1	1	591	1	4	1						1	1	1	1	3	1	1	2										1	1	2	2	2	1	1	1	2	6	1		2	2		2	2	2000000	2000000	1000000	0	50038911	984.675790981115
5003892	1	1	591	1	3	1						1	1	1	1	1	1	1	2										1	1	2	1	1	1	1	1	2	6	1		2	2		2	2	1500000	1500000	750000	0	50038921	984.675790981115
5003893	1	1	591	1	4	3						1	1	1	1	2	1	1	1		1		1	1					1	1	1	1	1	2	2	1	1	6	1		2	2		2	5	3070000	3070000	614000	0	50038931	1129.70590220331
5003894	1	1	591	1	3	2						1	1	1	1	1	1	1	2										1	1	2	2	1	1	2	1	2	6	1		2	2		2	4	10586666.6666667	10586666.6666667	2646666.66666667	0	50038941	1024.84480119622
5003895	1	1	591	1	4	1						1	1	1	1	3	1	1	2										1	1	2	1	1	1	2	1	2	4	1		2	2		2	2	3700000	3700000	1850000	0	50038951	927.66362731661
5003896	1	1	591	1	4	3						1	1	1	1	3	1	1	2										1	1	2	1	1	2	2	1	2	4	1		2	2		2	5	6544791.66666667	6544791.66666667	1308958.33333333	0	50038961	888.118850499606
5003897	1	1	591	1	4	3			1	1	1		2	3	1	1	1	1	2										1	1	2	2	2	2	2	6		1	1		4	1	6	2	5	1175000	1175000	235000	0	50038971	571.399747483687
5003898	1	1	591	1	2	2			1				2	3	1	1	1	1	2										1	1	1	2	2	2	2	6		1	1		4	2		2	4	1981666.66666667	1981666.66666667	495416.666666667	0	50038981	723.214552575706
5003900	1	1	591	1	6	4			1				2	2	1	2	1	1	2										1	1	2	2	1	2	2	6		1	1		3	2		2	6	2587583.33333333	2587583.33333333	431263.888888889	0	50039001	676.657453287469
5003901	1	1	591	1	3	2						1	2	3	1	1	1	1	2										1	1	1	2	2	2	2	6		1	1		4	2		2	3	2600000	2600000	866666.666666667	0	50039011	999.082907597997
5003902	1	1	591	1	5	2						1	2	2	1	2	1	1	2										1	1	2	2	2	2	2	6		1	1		4	2		2	2	412500	412500	206250	0	50039021	315.260836394477
5003903	1	1	591	1	4	2						1	2	3	1	1	1	1	2										1	1	2	2	2	2	2	6		2	1		4	2		2	2	1711333.33333333	1711333.33333333	855666.666666667	0	50039031	533.369006590863
5003905	1	1	591	1	4	1						1	2	2	1	2	1	1	2										1	1	2	2	2	2	2	6		1	1		4	1	6	2	1	950000	950000	950000	0	50039051	665.890683181723
5003906	1	1	591	1	4	1						1	1	1	1	2	1	1	2										1	1	1	1	1	1	2	1	2	6	1		2	2		1	1	2333333.33333333	2333333.33333333	2333333.33333333	0	50039061	2087.65244168719
5003907	1	1	591	1	3	1						1	1	1	1	2	1	1	2										1	1	2	2	2	1	2	1	2	6	1		2	2		2	1	4533333.33333333	4533333.33333333	4533333.33333333	0	50039071	2262.88209389181
5003908	1	1	591	1	3	1						1	1	1	1	2	1	1	1				1	1					1	1	2	2	2	1	1	1	2	4	1		2	2		2	1	12333333.3333333	12333333.3333333	12333333.3333333	0	50039081	2087.65244168719
5003909	1	1	591	1	4	1						1	1	1	1	2	1	1	2										1	1	2	1	2	1	2	1	2	4	1		2	2		2	2	3933333.33333333	3933333.33333333	1966666.66666667	0	50039091	927.66362731661
5003910	1	1	591	1	4	3						1	1	1	1	3	2	1	1		1		1	1					1	1	2	1	2	1	1	1	2	2	1		2	2		2	4	2464916.66666667	2464916.66666667	616229.166666667	0	50039101	1274.89963993438
5003910	2	1	591	2	2	1						1	1	1	1	1	2	1	1		1		1	1					1	1	2	1	2	2	2	1	2	6	1		2	2		2	4	1950000	1950000	487500	0	50039102	1274.89963993438
5003911	1	1	591	1	3	1						1	1	1	1	1	1	1	2										1	2	1	2	2	2	2	1	2	4	1		2	2		2	2	1622000	1622000	811000	0	50039111	1151.52555205345
5003912	1	1	591	1	4	2						1	1	1	1	2	1	3	2										1	1	1	2	2	1	2	1	2	6	1		2	2		1	2	2758333.33333333	2758333.33333333	1379166.66666667	0	50039121	927.66362731661
5003913	1	1	591	1	2	1					1		2	2	2	1	1	4	1		1	1	1	1	1	1			1	1	1	2	2	1	1	3		1	1		4	2		2	4	1025635.75	1025635.75	256408.9375	0	50039131	692.138124706219
5003914	1	1	591	1	4	3				1	1		2	2	1	2	1	1	2										1	1	2	2	1	2	2	10		6	1		4	2		2	5	5849458.33333333	5849458.33333333	1169891.66666667	0	50039141	216.53892239606
5003915	1	1	591	1	2	1						1	2	1	1	1	1	1	1		1		1	1					1	1	2	2	2	2	2	4		2	1		4	2		2	2	2162500	2162500	1081250	0	50039151	541.750677486651
5003916	1	1	591	1	3	2						1	2	2	1	1	1	1	2										1	1	1	2	2	2	2	3		4	1		4	1	6	2	4	931000	931000	232750	0	50039161	550.177669032699
5003917	1	1	591	1	3	2				1	1		2	2	1	1	1	1	1		1		1	1		1			1	1	1	2	2	1	1	3		1	1		4	2		2	4	2096666.66666667	2096666.66666667	524166.666666667	0	50039171	550.177669032699
5003918	1	1	591	1	3	3						1	1	1	1	1	1	1	2										1	1	2	1	2	2	2	1	2	1	1		2	2		2	4	2212500	2212500	553125	0	50039181	488.666533055472
5003919	1	1	591	1	4	1						1	2	2	1	2	1	1	2										2	2	2	2	2	2	2	4		6	1		4	2		2	1	1000000	1000000	1000000	0	50039191	507.726395495411
5003920	1	1	591	1	3	2						1	2	2	2	1	1	5	2										1	1	2	1	2	1	2	4		2	4		6	2		2	4	950000	950000	237500	0	50039201	430.075986687846
5003921	1	1	591	1	2	2			1	1	1		1	1	2	1	1	1	2										1	1	1	1	1	2	2	10		1	1		2	1	4	2	6	2530636.75	2530636.75	421772.791666667	0	50039211	684.975688467976
5003922	1	1	591	1	1	1						1	2	2	1	1	1	1	1		1								2	2	1	2	2	2	2	4		2	1		4	2		2	3	1973635	1973635	657878.333333333	0	50039221	551.699453541879
5003923	1	1	591	1	3	2				1	1		2	1	1	1	1	1	2										1	1	2	2	2	2	2	1	2	4	3		4	2		2	5	2226538.33333333	2226538.33333333	445307.666666667	0	50039231	611.0562116499
5003924	1	1	591	1	6	2						1	2	2	2	4	1	1	1		1	1	1	1	1	1	1		1	1	1	2	2	2	2	4		6	1		4	2		2	3	6751333.33333333	6751333.33333333	2250444.44444444	0	50039241	342.864340167137
5003925	1	1	591	1	4	3						1	2	2	1	2	1	1	2										1	1	1	2	2	2	2	4		6	1		4	1	6	2	4	1149454	1149454	287363.5	0	50039251	550.177669032699
5003926	1	1	591	1	2	2						1	2	2	2	1	1	1	2										2	1	1	2	2	2	2	4		2	1		4	1	6	2	5	645000	645000	129000	0	50039261	691.460677655767
5003927	1	1	591	1	3	2					1		1	2	1	1	1	1	2										1	1	1	2	2	2	2	4		6	1		2	2		2	4	949287.333333333	949287.333333333	237321.833333333	0	50039271	496.106306930339
5003928	1	1	591	1	4	4						1	2	1	1	1	1	1	2										1	1	2	2	2	2	2	4		6	1		4	2		2	11	2505000	2505000	227727.272727273	0	50039281	756.196722522022
5003929	1	1	591	1	6	3						1	2	2	2	1	1	1	1		1	1	1	1	1	1	1		2	1	1	2	2	2	2	4		2	1		4	1	6	2	3	660000	660000	220000	0	50039291	405.595580002136
5003930	1	1	591	1	3	2						1	1	1	1	1	1	1	1		1	1	1	1		1			1	1	2	1	1	2	2	1	1	2	1		2	2		2	3	824000	824000	274666.666666667	0	50039301	583.561792624596
5003931	1	1	591	1	2	2				1	1		2	1	1	1	1	1	2										1	1	1	2	2	2	2	4		6	1		4	2		2	5	856472.333333334	856472.333333334	171294.466666667	0	50039311	616.919113105099
5003932	1	1	591	1	5	1						1	2	2	1	1	1	1	2										1	1	1	2	2	2	2	4		6	1		4	2		2	2	2100000	2100000	1050000	0	50039321	420.010394759957
5003933	1	1	591	1	1	1		1		1	1		2	1	1	1	1	1	2										1	1	2	2	2	2	2	10		1	1		4	2		2	3	1630000	1630000	543333.333333333	0	50039331	592.637627863594
5003934	1	1	591	1	5	4						1	2	2	2	1	1	4	2										1	1	1	1	2	2	2	4		2	1		4	1	6	2	6	1555287.33333333	1555287.33333333	259214.555555556	0	50039341	599.511524404312
5003936	1	1	591	1	3	3				1	1		1	1	1	1	1	1	1				1			1			1	1	2	2	2	2	2	1	2	6	1		2	2		2	3	600000	600000	200000	0	50039361	561.544783321865
5003937	1	1	591	1	3	1			1	1	1		1	1	1	1	1	1	1			1	1	1					1	1	2	2	2	2	2	4		4	3		2	2		2	4	1560000	1560000	390000	0	50039371	588.424158054116
5003939	1	1	591	1	5	3				1	1		2	2	2	1	1	4	2										1	1	1	1	1	2	2	4		2	1		4	1	6	2	7	1727000	1727000	246714.285714286	0	50039391	718.091422239985
5003940	1	1	591	1	3	2			1	1	1		2	2	1	1	1	4	2										1	1	2	2	2	2	2	4		6	1		4	2		2	4	839454	839454	209863.5	0	50039401	692.138124706219
5003941	1	1	591	1	2	1						1	1	1	1	1	1	1	1		1		1	1					1	1	2	2	2	2	2	4		2	2		2	2		2	1	600000	600000	600000	0	50039411	582.946653945075
5003942	1	1	591	1	1	1						1	1	1	1	1	1	1	2										2	2	2	2	2	2	2	1	2	1	1		4	2		2	2	600000	600000	300000	0	50039421	582.632050974684
5003943	1	1	591	1	3	2				1	1		2	2	2	1	1	4	2										1	1	1	2	1	2	2	4		2	1		4	1	6	2	3	2271666.66666667	2271666.66666667	757222.222222222	0	50039431	405.595580002136
5003944	1	1	591	1	3	3				1	1		2	1	1	1	1	1	2										1	1	1	2	2	2	2	4		2	1		4	2		2	5	2840000	2840000	568000	0	50039441	723.348667395966
5003945	1	1	591	1	3	1				1	1		2	2	2	1	1	4	2										1	1	1	1	1	2	2	4		2	1		4	1	6	2	3	2050000	2050000	683333.333333333	0	50039451	614.430693376878
5003946	1	1	591	1	3	2			1	1	1		1	1	1	1	1	1	1		1	1	1	1	1	1			1	1	2	2	2	2	2	4		6	1		2	2		2	6	1450000	1450000	241666.666666667	0	50039461	665.654188969278
5003947	1	1	591	1	3	3				1	1		1	1	1	1	1	1	1		1	1	1						1	1	1	2	2	2	2	1	1	6	1		2	2		2	5	2130000	2130000	426000	0	50039471	605.193310194702
5003948	1	1	591	1	2	2				1	1		1	1	1	1	1	1	1		1	1	1	1	1	1	1		1	1	1	2	2	2	2	1	2	6	3		2	2		2	3	450000	450000	150000	0	50039481	456.040540202925
5003949	1	1	591	1	3	1				1	1		2	2	2	1	1	4	2										1	1	2	1	1	2	2	4		2	4		4	1	6	2	2	203333.333333333	203333.333333333	101666.666666667	0	50039491	210.679543216715
5003950	1	1	591	1	4	1				1	1		2	2	1	1	1	4	2										1	1	1	1	1	2	2	4		2	1		4	1	6	2	4	1378333.33333333	1378333.33333333	344583.333333333	0	50039501	305.099260590242
5003951	1	1	591	1	1	1			1				2	1	1	1	1	1	2										1	1	2	2	2	2	2	4		6	1		4	2		2	3	1609527	1609527	536509	0	50039511	624.558009454552
5003952	1	1	591	1	4	2				1	1		2	2	1	1	1	4	2										1	1	2	1	1	2	2	4		2	1		4	1	6	2	3	1267500	1267500	422500	0	50039521	210.679543216715
5003953	1	1	591	1	5	3				1	1		2	2	1	1	1	4	2										1	1	1	1	1	2	2	4		2	1		4	1	6	2	5	3470666.66666667	3470666.66666667	694133.333333333	0	50039531	210.679543216715
5003954	1	1	591	1	6	3				1	1		2	2	1	1	1	4	1		1	1	1	1	1	1	1		1	1	1	2	1	2	2	4		2	1		4	1	6	2	4	6386333.33333333	6386333.33333333	1596583.33333333	0	50039541	284.091027147734
5003955	1	1	591	1	3	1				1	1		2	2	2	1	1	4	2										1	1	2	1	1	2	2	4		2	1		4	1	6	2	2	241666.666666667	241666.666666667	120833.333333333	0	50039551	211.175281385215
5003956	1	1	591	1	2	1						1	2	1	1	1	1	1	2										1	1	2	2	2	2	2	4		6	3		4	2		2	3	600000	600000	200000	0	50039561	685.037103624661
5003958	1	1	591	1	5	3		1					1	1	2	1	1	1	1		1								1	1	1	2	2	2	2	1	2	1	1		2	2		2	5	1916666.66666667	1916666.66666667	383333.333333333	0	50039581	385.735651180575
5003960	1	1	591	1	5	3						1	1	1	2	1	1	1	1		1	1	1						1	1	1	2	2	2	2	1	2	4	1		2	2		1	4	5250000	5250000	1312500	0	50039601	162.292495340252
5003961	1	1	591	1	4	3						1	1	1	2	1	1	1	1				1	1					1	1	1	2	2	2	2	1	1	2	1		2	2		2	3	0	0	0	0	50039611	264.212047249769
5003962	1	1	591	1	5	3						1	1	1	2	1	1	1	1		1	1	1	1		1			1	1	2	1	1	2	2	1	2	1	1		2	2		2	3	900000	900000	300000	0	50039621	304.350110169499
5003964	1	1	591	1	3	2						1	1	1	1	1	1	1	1		1	1	1	1					1	1	1	2	2	2	2	1	2	1	1		2	2		2	2	1786000	1786000	893000	0	50039641	292.593517971065
5003965	1	1	591	1	3	1						1	1	1	2	1	1	1	1		1	1	1	1					1	1	1	1	2	2	2	1	2	1	1		2	2		1	2	2500000	2500000	1250000	0	50039651	272.363046604375
5003968	1	1	591	1	4	1						1	1	1	1	1	1	1	1		1	1	1	1		1			1	1	1	1	2	2	2	1	2	1	1		2	2		2	1	700000	700000	700000	0	50039681	268.096046440844
5003969	1	1	591	1	3	1						1	1	1	1	1	1	1	1		1	1	1		1				1	1	1	1	2	2	2	1	2	2	1		2	2		2	3	600000	600000	200000	0	50039691	388.876271694473
5003972	1	1	591	1	5	2						1	1	1	1	1	1	1	1		1	1	1	1		1			1	1	1	2	2	2	2	1	2	1	1		2	2		2	4	1410333.33333333	1410333.33333333	352583.333333333	0	50039721	373.979058982142
5003973	1	1	591	1	4	1				1	1		1	1	1	1	1	1	2										1	1	1	2	2	2	2	1	1	2	1		2	2		2	1	341666.666666667	341666.666666667	341666.666666667	0	50039731	266.704483949923
5003974	1	1	591	1	5	3						1	1	1	2	1	1	1	1		1	1	1	1		1			1	1	1	2	2	2	2	1	2	1	1		2	2		2	4	210000	210000	52500	0	50039741	265.487022664812
5003976	1	1	591	1	3	2						1	1	1	2	1	1	1	1		1	1	1			1			1	1	2	1	1	2	2	1	2	2	1		2	2		2	3	1500000	1500000	500000	0	50039761	305.74167266042
5003977	1	1	591	1	5	3					1		1	1	2	1	1	1	1		1	1	1		1	1			2	2	2	2	2	2	2	1	2	1	1		1	2		2	4	200000	200000	50000	0	50039771	317.498264858853
