DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	NRO_ENCUESTA	ORDEN	P5000	P5010	P5016	P5016S5	P5016S6	P5016S2	P5016S3	P5016S4	P5666	P8526	P5022	P5024	P5030	P5041	P5046	P5046S1	P5046S1A1	P5046S1A2	P5046S1A3	P5046S1A4	P5046S1A5	P5046S1A6	P5046S1A7	P5012	P5012S1	P5012S2	P5012S3	P5012S4	P5012S5	P5012S6	P5012S7	P8530	P5047	P5069	P764	P8534	P8536	P1698	P1698S1	P5305	CANT_PERSONAS_HOGAR	I_HOGAR	I_UGASTO	PERCAPITA	I_OU	LLAVEHOG	FEX_C
5000045	1	1	591	1	3	2			1				1	1	1	1	1	1	1		1		1						1	1	1	1	1	1	2	1	1	1	1		2	2		1	4	2840000	2840000	710000	0	50000451	2872.6655220793
5000046	1	1	591	1	4	3			1				1	1	1	1	1	1	2										1	1	1	2	2	1	2	1	1	4	1		2	2		2	3	1120000	1120000	373333.333333333	0	50000461	2543.34178946688
5000048	1	1	591	1	4	2			1	1	1		1	1	1	1	1	1	2										1	1	2	2	2	1	1	1	2	2	1		2	2		1	4	3000500	3000500	750125	0	50000481	2271.51106608592
5000049	1	1	591	1	4	3			1				1	1	1	1	1	1	1		1			1					1	1	1	1	1	1	2	1	1	2	1		2	2		2	6	4163333.33333333	4163333.33333333	693888.888888889	0	50000491	2136.3280260051
5000050	1	1	591	1	2	1			1	1	1		1	1	1	1	1	1	1		1	1	1	1					1	1	1	2	2	1	2	1	1	4	1		2	2		1	2	750000	750000	375000	0	50000501	2214.01805685446
5000053	1	1	591	1	4	3						1	1	1	1	1	1	1	1		1	1	1	1					1	1	1	1	1	1	2	1	1	4	1		2	2		2	2	1250000	1250000	625000	0	50000531	2184.24282296914
5000054	1	1	591	1	4	3				1	1		1	1	1	1	1	1	1		1			1					1	1	1	1	1	2	2	1	1	1	1		2	2		1	5	2050583.33333333	2050583.33333333	410116.666666667	0	50000541	2745.04539128309
5000055	1	1	591	1	5	2					1		1	1	1	1	1	1	1		1	1	1	1					1	1	1	2	2	2	2	1	1	4	1		2	2		1	4	5800000	5800000	1450000	0	50000551	1610.55818455959
5000056	1	1	591	1	3	2						1	1	1	1	1	1	1	2										1	1	1	2	2	2	2	1	1	4	1		2	2		1	4	5400000	5400000	1350000	0	50000561	2985.93955864022
5000057	1	1	591	1	2	1						1	1	1	1	1	1	1	2										1	1	1	2	2	1	2	1	1	1	1		2	2		2	1	1415200	1415200	1415200	0	50000571	2651.52263423082
5000059	1	1	591	1	3	2		1	1	1	1		2	1	1	1	1	1	2										1	1	1	2	2	2	2	1	1	1	4		1	2		2	5	1797500	1797500	359500	0	50000591	3200.82793255322
5000060	1	1	591	1	5	4						1	1	1	1	1	1	1	2										1	1	2	1	1	1	2	1	1	2	1		2	2		1	8	1435000	1435000	179375	0	50000601	2389.89552241935
5000062	1	1	591	1	4	2			1				1	1	1	1	1	1	2										1	1	1	1	2	1	2	1	1	2	1		2	2		1	3	1873250	1873250	624416.666666667	0	50000621	2657.77714816631
5000063	1	1	591	1	5	4						1	1	1	1	2	1	1	1		1	1	1	1	1				1	1	1	1	1	1	1	1	1	1	1		2	2		1	3	3621066.66666667	3621066.66666667	1207022.22222222	0	50000631	2077.83799582127
5000064	1	1	591	1	3	3						1	1	1	1	1	1	1	2										1	1	2	2	2	1	2	1	1	4	1		2	2		1	4	2100000	2100000	525000	0	50000641	2879.69903267848
5000065	1	1	591	1	2	1						1	1	1	1	1	1	1	2										1	1	1	2	2	1	2	1	1	1	1		2	2		2	1	1078820.66666667	1078820.66666667	1078820.66666667	0	50000651	2312.91275224675
5000067	1	1	591	1	5	3			1				1	1	1	2	1	1	2										1	1	2	1	2	2	2	1	1	1	1		2	2		2	3	1200000	1200000	400000	0	50000671	1946.83221653498
5000068	1	1	591	1	3	1						1	1	1	1	1	1	1	2										1	1	1	2	2	2	2	1	1	1	1		2	2		1	3	1897500	1897500	632500	0	50000681	2972.26392975369
5000069	1	1	591	1	4	2			1				1	1	1	1	1	1	2										1	1	2	2	2	1	1	1	1	1	1		2	2		2	4	852500	852500	213125	0	50000691	2604.62331848826
5000070	1	1	591	1	4	2						1	1	1	1	1	1	1	2										1	1	1	2	1	2	2	1	1	1	1		2	2		2	6	1760000	1760000	293333.333333333	0	50000701	2063.22172285473
5000072	1	1	591	1	4	2			1				1	1	1	1	1	1	2										1	1	1	1	2	1	2	1	1	2	1		2	2		1	3	1375000	1375000	458333.333333333	0	50000721	1765.37585301524
5000073	1	1	591	1	5	3						1	1	1	1	1	1	1	2										1	1	2	2	1	1	2	1	1	1	1		2	2		1	5	3973166.66666667	3973166.66666667	794633.333333333	0	50000731	2033.67582989308
5000075	1	1	591	1	4	1			1		1		1	1	1	2	1	1	1		1								1	1	2	2	1	2	2	1	1	1	1		2	2		2	2	2401666.66666667	2401666.66666667	1200833.33333333	0	50000751	2343.47166193658
5000076	1	1	591	1	5	2			1				1	1	1	2	1	1	1		1	1	1	1					1	1	2	1	2	1	2	1	1	4	1		2	2		1	5	1892666.66666667	1892666.66666667	378533.333333333	0	50000761	2096.18244977467
